,Index,RA,DEC,Distance,Vmag,x,y,z
0,1,1.29125,45.22916666666667,100.0,6.7,70.40940672212916,1.5870547941650583,70.99293417036733
1,2,1.2658333333333334,-0.5030555555555556,100.0,6.29,99.97174261645215,2.209031075797514,-0.877986296023728
2,3,1.3337499999999998,-5.7075000000000005,71428.57142857142,4.61,71055.21253980722,1654.3454374788644,-7103.571525848534
3,4,1.425,13.39611111111111,100.0,5.51,97.24907543038803,2.419174924319183,23.168187685277466
4,5,1.5666666666666669,58.43666666666666,21276.59574468085,5.96,11132.873728387513,304.48752826596984,18128.980566360617
5,6,1.5791666666666668,-49.075,20000.0,5.7,13096.435197879942,361.05089307472423,-15111.354253022502
6,7,1.6104166666666668,64.19611111111111,100.0,5.59,43.512027578180195,1.2233179030132932,90.02892284895923
7,8,1.6533333333333333,29.02138888888889,14925.373134328358,6.13,13045.889958383865,376.5581622671295,7240.837129994004
8,9,1.70875,-23.1075,100.0,6.18,91.93611273594193,2.742652701467666,-39.24575175943641
9,10,1.8258333333333332,-17.386388888888888,100.0,6.19,95.38268340209247,3.040570502178624,-29.8814095724662
10,11,1.9337500000000003,-2.548888888888889,100.0,6.43,99.84417146567623,3.371051246894259,-4.4471831335643826
11,12,1.9450000000000003,-22.50888888888889,100.0,5.94,92.3287909086916,3.135458015396027,-38.282675877905845
12,13,2.0145833333333334,-33.529444444444444,100.0,5.68,83.30868305462927,2.9304336889828098,-55.23654484214053
13,14,2.050416666666667,-2.447777777777778,100.0,6.07,99.84478784468521,3.5746237915044814,-4.270878715090292
14,15,2.097083333333333,29.090555555555554,31250.0,2.06,27289.597540261842,999.2730610927226,15193.479504047422
15,16,2.0725,-8.823888888888888,100.0,5.99,98.75181180549492,3.5736041909993266,-15.339785468453771
16,17,2.1708333333333334,36.626666666666665,22727.272727272728,6.19,18226.453011779173,690.8979294959962,13559.055877171493
17,18,2.1391666666666667,-17.5775,100.0,6.06,95.26449839950865,3.5584013833562698,-30.199555034552066
18,19,2.2175000000000002,25.462777777777777,100.0,6.23,90.21886606600803,3.4934560106099073,42.99246411716403
19,20,2.334166666666667,79.71472222222222,500000.0,6.01,89200.62689791185,3635.9465482113405,491965.4744529519
20,21,2.294583333333333,59.14972222222222,13888.88888888889,2.27,7116.461775936325,285.15276732653075,11923.75336288136
21,22,2.2600000000000002,18.211944444444445,100.0,5.53,94.91680513068006,3.7458832253135212,31.253295228612625
22,23,2.2600000000000002,-54.00194444444445,111111.11111111112,6.33,65255.62445333351,2575.3073827185763,-89892.99350581055
23,24,2.3375,-27.98777777777778,43478.260869565216,5.42,38361.43255087816,1565.9029575283466,-20403.617542337808
24,25,2.3529166666666668,-45.7475,15151.51515151515,3.88,10564.142172189391,434.07260980489804,-10852.598422579726
25,26,2.509583333333333,11.145555555555555,58823.5294117647,5.51,57658.722445868334,2527.0966831889496,11370.71328989001
26,27,2.580416666666667,46.07222222222222,-500000.0,5.03,-346523.81373338314,-15616.872276086679,-360107.4281599645
27,28,2.62375,57.16555555555556,100.0,6.74,54.16450218923574,2.4820944101704643,84.02407934593082
28,29,2.578333333333333,-5.248611111111111,100.0,5.84,99.4799042558769,4.479660302029257,-9.147747964389085
29,30,2.5087499999999996,-82.2238888888889,100.0,5.28,13.517279761939063,0.5922454379983324,-99.08043395735933
30,31,2.6783333333333332,-12.58,100.0,5.85,97.49266909040975,4.560688921409912,-21.78025688989898
31,32,2.660833333333333,-73.22444444444444,100.0,6.64,28.83121623590073,1.3398937927573515,-95.74427217845913
32,33,2.81625,-15.468055555555555,14925.373134328358,4.89,14367.392340138284,706.7673412047379,-3980.613077011234
33,34,2.8933333333333335,-27.799722222222226,100.0,5.41,88.34556024895964,4.4650872242972355,-46.63823517648218
34,35,2.933333333333333,-35.13305555555556,29411.76470588235,5.25,24021.950066280908,1230.9111762768778,-16925.79911860619
35,36,2.99625,48.152499999999996,100.0,6.16,66.62382417007764,3.4872341914999834,74.49231672225137
36,37,3.0416666666666665,-17.938333333333333,-66666.66666666667,5.25,-63336.55002320587,-3365.515847838282,20532.880428238397
37,38,3.2100000000000004,37.69333333333333,100.0,6.73,79.00531456301229,4.4309151003813225,61.14349730079799
38,39,3.3091666666666666,15.18361111111111,-500000.0,2.83,-481741.1262863063,-27854.348572756153,-130956.56726559554
39,40,3.35,26.987222222222222,166666.66666666666,6.3,148264.1709349989,8678.67992758833,75631.96354352887
40,41,3.3783333333333334,41.03527777777778,41666.666666666664,5.72,31374.77701519673,1852.099087167539,27355.149557790886
41,42,3.425416666666667,-26.021944444444443,100.0,5.94,89.70206166286368,5.369218185185602,-43.871535527169264
42,43,3.4341666666666666,-26.284722222222225,100.0,6.31,89.49944959550719,5.370807731468137,-44.28321291881234
43,44,3.5095833333333335,33.20611111111111,100.0,6.25,83.51367256666553,5.121935987636777,54.76524688309483
44,45,3.6508333333333334,20.206666666666667,66666.66666666667,4.8,62436.55790595227,3983.7919272222566,23027.15968550425
45,46,3.6149999999999998,-7.780555555555556,333333.3333333333,5.12,329607.47158765077,20823.778424408247,-45126.44498338267
46,47,3.3308333333333335,-84.99416666666667,100.0,5.77,8.710976172614751,0.5069752098058552,-99.61858195264968
47,48,3.66,-18.93277777777778,34482.75862068965,4.44,32550.712604599492,2082.1414714138427,-11188.227648673086
48,49,3.73375,22.284166666666668,100.0,6.24,92.33505008175729,6.025659210955776,37.92004690757645
49,50,3.745,8.820833333333333,58823.5294117647,5.79,58003.68068001074,3796.678595715856,9020.303302490925
50,51,3.7270833333333333,-9.569722222222222,100.0,5.75,98.39984628596589,6.409941510968377,-16.624767689331772
52,53,3.794166666666667,27.283055555555556,100.0,6.35,88.68048740307341,5.881083067005064,45.83867380184909
53,54,3.7425,-34.904444444444444,100.0,6.17,81.83585929837605,5.35304738477434,-57.220949106011496
54,55,4.058333333333334,76.95083333333334,76923.07692307692,6.35,17324.68769130892,1229.1861096503746,74936.66700100867
55,56,4.09,43.594722222222224,100.0,6.15,72.2390933323597,5.1654898721067966,68.9552834009098
56,57,4.037083333333333,-31.44638888888889,100.0,5.67,85.10118138262648,6.006205865838237,-52.17005288840024
57,58,3.9799999999999995,-75.9113888888889,100.0,6.49,24.283517015540262,1.6895511404503893,-96.99204203593081
58,59,4.142083333333333,8.239999999999998,100.0,6.11,98.70913806731153,7.148436511242628,14.331989305506927
59,60,4.237916666666666,61.53333333333333,100.0,5.74,47.53441512986163,3.522337307833961,87.90945636364624
60,61,4.177083333333334,-20.210555555555555,100.0,6.47,93.59366340298885,6.835453455950533,-34.54710909554602
61,62,4.287916666666667,47.9475,100.0,5.89,66.79364146695197,5.008073340662372,74.25313906495012
62,63,4.272916666666667,38.681666666666665,45454.545454545456,4.61,35384.57456069858,2643.7595075341733,28408.768387665532
63,64,4.204166666666667,-78.78055555555555,100.0,6.77,19.40436948083723,1.4263865637213091,-98.08891816317472
64,65,4.429166666666666,51.433055555555555,100.0,6.14,62.1566785040988,4.814525470137841,78.1880276118761
65,66,4.385833333333333,-19.051111111111112,100.0,6.45,94.24598549425542,7.22839305034503,-32.64114814350621
66,67,4.4487499999999995,1.6888888888888889,100.0,6.17,99.65540182766911,7.753364491493827,2.9472403410385652
67,68,4.582083333333333,36.78527777777778,43478.260869565216,4.52,34709.807027808034,2781.760851805606,26035.55781806212
68,69,4.571666666666666,11.205833333333333,100.0,6.05,97.78144465516276,7.818643252071741,19.433422211390813
69,70,4.675416666666667,43.79111111111111,100.0,6.11,71.94655494108143,5.8840065930513,69.20311913868392
70,71,4.659583333333333,31.51722222222222,100.0,5.87,84.96655619827911,6.925185133320684,52.27548315103279
71,72,4.674166666666666,-8.052777777777779,18867.924528301886,6.46,18619.744782905713,1522.3700371989291,-2643.1174198265094
72,73,4.677499999999999,-43.23527777777778,100.0,6.33,72.61205692998634,5.941091272001866,-68.49958118772818
73,74,4.857083333333334,-8.823888888888888,76923.07692307692,3.56,75739.69292943428,6436.037042626592,-11799.83497573367
74,75,4.923333333333333,40.72972222222222,100.0,6.33,75.50000150586625,6.503607330343145,65.24915987433786
75,76,5.0216666666666665,48.86527777777778,100.0,6.52,65.53068208551042,5.758163034822597,75.31648733094346
76,77,5.017916666666666,-64.87472222222222,7462.686567164179,4.23,3156.5043357051413,277.1529822973274,-6756.578823843545
77,78,5.101666666666667,30.935833333333335,100.0,5.9,85.43455952739615,7.627336297663261,51.407779366183036
78,79,5.189583333333332,32.91138888888889,100.0,5.79,83.60706021631758,7.593512704969916,54.33413334897785
79,80,5.149583333333333,8.190277777777778,100.0,5.37,98.58053505364305,8.884075389006442,14.246098168267196
80,81,5.227083333333333,10.976944444444445,200000.0,6.56,195524.28319026277,17887.296231970267,38082.79554396794
81,82,5.2804166666666665,37.968611111111116,58823.5294117647,5.18,46176.60807731926,4267.756224818154,36189.98115136185
82,83,5.1625,-69.625,90909.09090909091,5.51,31522.79325380869,2847.997659323259,-85221.27213746271
83,84,5.38,-28.981666666666666,37037.03703703704,5.18,32256.340448637282,3037.762081691877,-17945.545822835662
84,85,5.442916666666666,-20.05777777777778,100.0,5.12,93.51119118513196,8.910084339130437,-34.29675670099555
85,86,5.606249999999999,13.4825,100.0,6.23,96.77897470441037,9.499919993384696,23.314835948005086
